word,sentiment
abandoned,0
abandonment,0
aberration,0
aberration,0
abhorred,0
abhorrence,0
abhorrent,0
abhorrently,0
abhors,0
abhors,0
abject,0
abjectly,0
abnormal,0
abominable,0
abominably,0
abomination,0
abrasive,0
abrupt,0
absence,0
absent-minded,0
absurd,0
absurdity,0
absurdly,0
absurdness,0
abuse,0
abuse,0
abuses,0
abuses,0
abusive,0
abysmal,0
abysmally,0
abyss,0
accidental,0
accountable,0
accursed,0
accusation,0
accusation,0
accusations,0
accusations,0
accuses,0
accusing,0
accusingly,0
acerbic,0
acerbically,0
acrid,0
acridly,0
acridness,0
acrimonious,0
acrimoniously,0
acrimony,0
adamant,0
adamantly,0
addict,0
addiction,0
admonition,0
adrift,0
adulterated,0
adulteration,0
adversarial,0
adverse,0
adversity,0
affectation,0
affliction,0
afflictive,0
affront,0
afraid,0
against,0
aggravating,0
aggravation,0
aggression,0
aggression,0
aggressiveness,0
aggressor,0
aggrieved,0
aghast,0
agitated,0
agitation,0
agitator,0
agonies,0
agonizing,0
agonizingly,0
agony,0
ail,0
ailment,0
aimless,0
airs,0
airs,0
alarm,0
alarmed,0
alarming,0
alarmingly,0
alienated,0
alienation,0
allegation,0
allegations,0
allege,0
allegations,0
allergic,0
aloof,0
altercation,0
ambiguous,0
ambiguity,0
ambivalent,0
ambivalent,0
ambush,0
amiss,0
anarchism,0
anarchist,0
anarchistic,0
anarchy,0
anemic,0
anger,0
anger,0
angry,0
anguish,0
annihilation,0
animosity,0
annoyance,0
annoyed,0
annoying,0
annoyingly,0
anomalous,0
anomaly,0
antagonism,0
antagonist,0
antagonistic,0
anti-,0
anti-American,0
anti-American,0
anti-Israeli,0
anti-Israeli,0
anti-Semites,0
anti-Semites,0
anti-US,0
anti-US,0
anti-occupation,0
anti-occupation,0
anti-proliferation,0
anti-proliferation,0
anti-social,0
anti-white,0
anti-white,0
antipathy,0
antiquated,0
antithetical,0
antithetical,0
anxieties,0
anxiety,0
anxious,0
anxiously,0
anxiousness,0
apathetic,0
apathetic,0
apathetically,0
apathy,0
apocalypse,0
apocalyptic,0
apologist,0
apologist,0
apologists,0
apologists,0
appall,0
appalled,0
appalling,0
appallingly,0
apprehension,0
apprehensions,0
apprehensions,0
apprehensive,0
apprehensive,0
arbitrary,0
arcane,0
archaic,0
arduous,0
arduously,0
argument,0
argument,0
arguments,0
arguments,0
arrogance,0
arrogant,0
arrogantly,0
artificial,0
ashamed,0
asinine,0
asininely,0
asinininity,0
askance,0
aspersion,0
aspersions,0
assassin,0
assault,0
assault,0
astray,0
asunder,0
atrocious,0
atrocities,0
atrocity,0
attack,0
audacious,0
audaciously,0
audaciousness,0
audacity,0
austere,0
authoritarian,0
autocrat,0
autocratic,0
autocratic,0
autocratic,0
avalanche,0
avalanche,0
avarice,0
avaricious,0
avariciously,0
averse,0
aversion,0
avoidance,0
awful,0
awful,0
awfully,0
awfulness,0
awkward,0
awkwardness,0
backbiting,0
backward,0
backwardness,0
bad,0
badly,0
baffled,0
bafflement,0
baffling,0
banal,0
bane,0
banish,0
banishment,0
bankrupt,0
barbarian,0
barbarian,0
barbaric,0
barbarically,0
barbarity,0
barbarity,0
barbarous,0
barbarously,0
barren,0
baseless,0
bashful,0
bastard,0
battered,0
battering,0
battering,0
battle-lines,0
battle-lines,0
battlefield,0
battleground,0
battleground,0
batty,0
bearish,0
beast,0
beast,0
beastly,0
bedlam,0
bedlamite,0
beggar,0
beggarly,0
begging,0
begging,0
belated,0
belittled,0
bellicose,0
bellicose,0
belligerence,0
belligerent,0
belligerently,0
bemoaning,0
bemused,0
bent,0
bereavement,0
bereft,0
berserk,0
beset,0
bestial,0
betrayal,0
betrayals,0
betrayer,0
bewildered,0
bewildering,0
bewildering,0
bewilderingly,0
bewilderment,0
bias,0
bias,0
biased,0
biased,0
biases,0
biases,0
bickering,0
bid-rigging,0
bitchy,0
biting,0
bitingly,0
bitter,0
bitterly,0
bitterness,0
bizarre,0
black,0
blame,0
blame,0
blameworthy,0
bland,0
blasphemous,0
blasphemy,0
blatant,0
blatantly,0
bleak,0
bleakly,0
bleakness,0
blemish,0
blind,0
blinding,0
blindingly,0
blindness,0
blistering,0
bloated,0
block,0
blockhead,0
blood,0
bloodshed,0
bloodthirsty,0
bloody,0
blow,0
blow,0
blunder,0
blunder,0
blundering,0
blunders,0
blunt,0
boastful,0
bogus,0
boiling,0
boisterous,0
bombardment,0
bombardment,0
bombastic,0
bondage,0
bonkers,0
bonkers,0
boredom,0
boring,0
bother,0
bothersome,0
boycott,0
boycott,0
braggart,0
bragger,0
brash,0
brashly,0
brashness,0
brat,0
bravado,0
brazen,0
brazenly,0
brazenly,0
brazenness,0
brazenness,0
breach,0
breach,0
break-point,0
break-point,0
brimstone,0
brimstone,0
brittle,0
broke,0
broken-hearted,0
bruise,0
brusque,0
brutal,0
brutalising,0
brutalising,0
brutalities,0
brutalities,0
brutality,0
brutalizing,0
brutally,0
brute,0
brutish,0
bulky,0
bullies,0
bullies,0
bully,0
bully,0
bullyingly,0
bum,0
bumpy,0
bunk,0
burden,0
burden,0
burdensome,0
busy,0
busybody,0
butchery,0
byzantine,0
calamities,0
calamitous,0
calamitously,0
calamity,0
callous,0
calumniation,0
calumnies,0
calumnious,0
calumniously,0
calumny,0
cancer,0
cancerous,0
cannibal,0
capricious,0
capriciously,0
capriciousness,0
captive,0
careless,0
carelessness,0
carnage,0
cartoon,0
cartoon,0
cash-strapped,0
cataclysm,0
cataclysmal,0
cataclysmic,0
cataclysmically,0
catastrophe,0
catastrophes,0
catastrophic,0
catastrophically,0
caustic,0
caustically,0
cautionary,0
cautious,0
censure,0
censure,0
chagrin,0
challenge,0
challenging,0
chaos,0
chaotic,0
charisma,0
cheap,0
cheat,0
cheerless,0
childish,0
chilly,0
choppy,0
chore,0
chronic,0
clamor,0
clamorous,0
clash,0
clash,0
cliche,0
cliched,0
clique,0
close,0
clumsy,0
coarse,0
cocky,0
coercion,0
coercive,0
cold,0
coldly,0
collapse,0
collusion,0
combative,0
comedy,0
comedy,0
comical,0
commonplace,0
commotion,0
commotion,0
complacent,0
complacent,0
complaining,0
complaining,0
complaint,0
complaints,0
complaints,0
complex,0
complicated,0
complication,0
complicit,0
compulsion,0
compulsive,0
compulsory,0
conceit,0
conceited,0
concern,0
concern,0
concerns,0
concerns,0
concession,0
concession,0
concessions,0
concessions,0
condescending,0
condescendingly,0
condescension,0
condemnable,0
condemnation,0
condolence,0
condolences,0
condolences,0
confession,0
confessions,0
confessions,0
conflict,0
conflict,0
confrontation,0
confrontation,0
confrontational,0
confusing,0
confusion,0
confusion,0
congested,0
congestion,0
conspicuous,0
conspicuous,0
conspiracies,0
conspiracies,0
conspiracy,0
conspiracy,0
conspirator,0
conspirator,0
conspiratorial,0
consternation,0
constraint,0
contagious,0
contamination,0
contempt,0
contemptible,0
contemptuous,0
contemptuously,0
contention,0
contentious,0
contentious,0
contortions,0
contortions,0
contradiction,0
contradictory,0
contrariness,0
contrary,0
contrived,0
controversial,0
controversial,0
controversy,0
controversy,0
convoluted,0
coping,0
coping,0
corrosion,0
corrosive,0
corrupt,0
corruption,0
costly,0
counterproductive,0
coupists,0
coupists,0
covetous,0
covetous,0
coward,0
cowardly,0
crackdown,0
crackdown,0
crafty,0
cramped,0
cranky,0
crass,0
cravenly,0
craze,0
crazily,0
craziness,0
crazy,0
credulous,0
crime,0
criminal,0
crippling,0
crisis,0
crisis,0
critic,0
criticism,0
criticism,0
criticisms,0
criticisms,0
critics,0
critics,0
crook,0
crooked,0
cross,0
crowded,0
crude,0
cruel,0
cruelties,0
cruelty,0
crushing,0
culpable,0
cuplrit,0
cumbersome,0
curse,0
cursed,0
cursed,0
curses,0
cursory,0
curt,0
cutthroat,0
cynical,0
cynicism,0
damage,0
damage,0
damaging,0
damn,0
damn,0
damnable,0
damnably,0
damnation,0
damned,0
damning,0
danger,0
danger,0
dangerous,0
dangerousness,0
dangerousness,0
dark,0
darkness,0
dastard,0
daunting,0
dauntingly,0
dazed,0
dead,0
deadbeat,0
deadlock,0
deadly,0
deadweight,0
deaf,0
dearth,0
death,0
debacle,0
debasement,0
debaser,0
debatable,0
debaucher,0
debauchery,0
debilitating,0
debility,0
decadence,0
decadent,0
decay,0
decayed,0
deceit,0
deceitful,0
deceitfully,0
deceitfulness,0
deceiving,0
deceiver,0
deceivers,0
deception,0
deception,0
deceptive,0
deceptive,0
deceptively,0
decline,0
declining,0
decrease,0
decreasing,0
decrement,0
decrepit,0
decrepitude,0
deep,0
deepening,0
deepening,0
defamation,0
defamations,0
defamatory,0
defeat,0
defect,0
defective,0
defensive,0
defiance,0
defiance,0
defiant,0
defiantly,0
deficiency,0
deficient,0
defiler,0
deformed,0
defrauding,0
defrauding,0
defunct,0
degenerate,0
degenerately,0
degeneration,0
degradation,0
degrading,0
degradingly,0
dehumanization,0
dejected,0
dejectedly,0
dejection,0
delinquency,0
delinquent,0
delirious,0
delirium,0
deluded,0
deluge,0
delusion,0
delusion,0
delusional,0
delusions,0
delusions,0
demeaning,0
demise,0
demolisher,0
demon,0
demonic,0
demoralizing,0
demoralizingly,0
denial,0
denunciation,0
denunciations,0
deplorable,0
deplorably,0
deploring,0
deploringly,0
depraved,0
depravedly,0
depressed,0
depressing,0
depresasing,0
depression,0
depression,0
deprived,0
derision,0
derisive,0
derisively,0
derisiveness,0
derogatory,0
desertion,0
desiccate,0
desiccated,0
desolate,0
desolately,0
desolation,0
despair,0
